Subject,Run,Volume,File,HD (mm)
2006-T1,run1,vol0017,('test-GT-masks-WSU/binary/bin_mask_zpr_2006-T1_run1_vol0017.nii.gz',13.09580085
2013-T1,run1,vol0043,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0043.nii.gz',7
2013-T1,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0060.nii.gz',7.826237921
2013-T1,run1,vol0078,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0078.nii.gz',14.43086969
2013-T1,run1,vol0127,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0127.nii.gz',12.61942946
2013-T1,run1,vol0160,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0160.nii.gz',9.899494937
2019-T1,run1,vol0121,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run1_vol0121.nii.gz',9.899494937
2019-T1,run1,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run1_vol0150.nii.gz',13.09580085
2019-T1,run2,vol0100,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run2_vol0100.nii.gz',7.826237921
2019-T1,run2,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run2_vol0170.nii.gz',11.06797181
2020-T2,run2,vol0070,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0070.nii.gz',7.826237921
2020-T2,run2,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0115.nii.gz',7.826237921
2020-T2,run2,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0170.nii.gz',7
2029-T1,run2,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2029-T1_run2_vol0030.nii.gz',14.8492424
2029-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2029-T1_run2_vol0140.nii.gz',8.5732141
2031-T1,run2,vol0020,('test-GT-masks-WSU/binary/bin_mask_zpr_2031-T1_run2_vol0020.nii.gz',8.573215657
2031-T1,run2,vol0104,('test-GT-masks-WSU/binary/bin_mask_zpr_2031-T1_run2_vol0104.nii.gz',10.50000254
2033-T1,run2,vol0145,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T1_run2_vol0145.nii.gz',8.5732141
2033-T2,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0025.nii.gz',10.5
2033-T2,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0045.nii.gz',10.5
2033-T2,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0060.nii.gz',9.899494937
2033-T2,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0135.nii.gz',10.5
2035-T1,run1,vol0010,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0010.nii.gz',7.826237921
2035-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0025.nii.gz',7.826237921
2035-T1,run1,vol0073,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0073.nii.gz',7
2035-T1,run1,vol0122,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0122.nii.gz',7
2035-T1,run1,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0170.nii.gz',7.826237921
2035-T1,run2,vol0057,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0057.nii.gz',4.949747468
2035-T1,run2,vol0063,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0063.nii.gz',7
2035-T1,run2,vol0089,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0089.nii.gz',7
2035-T1,run2,vol0159,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0159.nii.gz',6.062177826
2037-T1,run1,vol0063,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0063.nii.gz',10.5
2037-T1,run1,vol0112,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0112.nii.gz',7.826237921
2037-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0130.nii.gz',7.826237921
2040-T1,run1,vol0018,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0018.nii.gz',10.50000254
2040-T1,run1,vol0078,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0078.nii.gz',12.12435345
2040-T1,run1,vol0165,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0165.nii.gz',13.09579983
2040-T1,run2,vol0020,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0020.nii.gz',12.61942946
2040-T1,run2,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0080.nii.gz',11.06797181
2040-T1,run2,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0150.nii.gz',14.43086969
2041-T1,run1,vol0044,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0044.nii.gz',7.826237921
2041-T1,run1,vol0110,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0110.nii.gz',7.826237921
2041-T1,run1,vol0166,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0166.nii.gz',7.826237921
2047-T1,run1,vol0017,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0017.nii.gz',7.826237921
2047-T1,run1,vol0065,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0065.nii.gz',10.5
2047-T1,run1,vol0095,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0095.nii.gz',10.5
2047-T1,run1,vol0166,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0166.nii.gz',11.60818677
2048-T1,run2,vol0035,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0035.nii.gz',9.899494937
2048-T1,run2,vol0066,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0066.nii.gz',8.5732141
2048-T1,run2,vol0094,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0094.nii.gz',8.5732141
2048-T1,run2,vol0122,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0122.nii.gz',11.06797181
2051-T1,run1,vol0012,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0012.nii.gz',14
2051-T1,run1,vol0050,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0050.nii.gz',7
2051-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0130.nii.gz',6.062177826
2052-T1,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0060.nii.gz',7.826234509
2052-T1,run1,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0115.nii.gz',7.826234509
2052-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0135.nii.gz',7.826239627
2057-T1,run1,vol0015,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0015.nii.gz',10.5
2057-T1,run1,vol0070,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0070.nii.gz',7.826237921
2057-T1,run1,vol0109,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0109.nii.gz',11.06797181
2057-T1,run1,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0170.nii.gz',7
2063-T1,run2,vol0032,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0032.nii.gz',9.899494937
2063-T1,run2,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0105.nii.gz',133.7348122
2063-T1,run2,vol0171,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0171.nii.gz',10.5
2065-T1,run1,vol0032,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0032.nii.gz',7
2065-T1,run1,vol0093,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0093.nii.gz',7
2065-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0130.nii.gz',7.826237921
2066-T1,run1,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0030.nii.gz',7.826237921
2066-T1,run1,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0080.nii.gz',7.826237921
2066-T1,run1,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0105.nii.gz',7.826237921
2066-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0135.nii.gz',7.826237921
2066-T1,run1,vol0165,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0165.nii.gz',7.826237921
2074-T1,run1,vol0026,('test-GT-masks-WSU/binary/bin_mask_zpr_2074-T1_run1_vol0026.nii.gz',7
2074-T1,run1,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2074-T1_run1_vol0150.nii.gz',8.5732141
2076-T1,run2,vol0008,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0008.nii.gz',186.881647
2076-T1,run2,vol0055,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0055.nii.gz',7
2076-T1,run2,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0085.nii.gz',7
2076-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0140.nii.gz',7.826237921
2076-T1,run2,vol0175,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0175.nii.gz',8.5732141
2079-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2079-T1_run1_vol0025.nii.gz',10.49999237
